[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","18"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","19"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","20"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","21"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","22"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","29"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","30"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","32"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","33"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","34"]
[18:03:27] login_id: 1 | SQL: INSERT INTO tbl_menu_map(login_id, menu_id, is_active) VALUES (?, ?, 1) | Values: ["1","35"]
[22:08:53] login_id: 3 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-11-28","2"]
[22:08:53] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-11-28"]
[22:08:53] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-11-28"]
[22:08:53] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-11-28"]
[22:08:53] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-11-28"]
[22:08:53] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-11-28"]
[22:08:53] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-11-28"]
[22:08:53] login_id: 3 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-11-28"]
